siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region,huc12
abei,"Aberdeen, Idaho Weather Station",ID,42.953333,-112.82667,1341,US/Mountain,3/20/1991,,m,0,agrimet_map,,,agrimet,noaa,PN,1.70E+11
acao,"Ashland Creek Mouth, near Ashland",OR,42.195,-122.6686111,1820,US/Pacific,48:15.3,14354100,ft,0,,,,hydromet,OWRD,PN,1.71E+11
acho,"A Canal Headworks, Oregon",OR,42.23861111,-121.8019444,4140,US/Pacific,23:37.7,OFF,ft,0,,,,hydromet,Klamath,PN,1.80E+11
acki,"INL - Blackfoot,  Idaho  Weather Station",ID,43.18985,-112.3332,1377.696,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,1.70E+11
addo,Ady Canal,OR,42.08055556,-121.845,4087,US/Pacific,.......................,11509200,ft,0,,,,hydromet,Klamath,PN,1.80E+11
afai,AMERICAN FALLS RES AT SPORTSMAN PK NR ABERDEEN ID,ID,0,0,0,US/Mountain,.......................,13076420,ft,0,,,,hydromet,,PN,
afci,St. Anthony Union Feeder Canal,ID,43.96027778,-111.6980556,4940,US/Mountain,00:00.0,13050530,ft,0,,,,hydromet,IDWR,PN,1.70E+11
afsw,PARADISE,WA,46.76666667,-121.7333333,206.5,0,.......................,679,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
afty,"Afton, Wyoming AgriMet Weather Station",WY,42.73333,-110.93583,1892.81,US/Mountain,11/1/1980,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
aga,"Agate Dam and Reservoir near Medford, OR",OR,42.415,-122.77222,1520,US/Pacific,58:14.9,,ft,0,cma_google,,,hydromet,,PN,1.71E+11
agko,"Agency Lake Ranch, Oregon AgriMet Weather Station",OR,42.56527,-121.9825,1264.92,US/Pacific,5/3/2000,,m,0,agrimet_map,,,agrimet,pnro,PN,1.80E+11
agno,ROGUE NR AGNESS,OR,42.580387,-124.059533,114,US/Pacific,00:00.0,14372300,ft,0,,,,hydromet,usgs,PN,1.71E+11
agr,"Angostura Reservoir (Cheyenne River Blw Dam), Sd",SD,43.34333,-103.43833,3200,MST,,,,,,,,,,GP,
agtest,Test ID - 300 Baud HDR Transmitter,ID,43.61472222,-116.2519444,2715,US/Mountain,.......................,0,ft,0,,,,hydromet,pnro/AgriMet,PN,1.71E+11
agwa,warm springs + beulah,or,0,0,0,US/Mountain,,0,,0,,,,hydromet,,PN,
ahti,"Ashton, Idaho AgriMet Weather Station",ID,44.025,-111.46666,1615.44,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
alcr,"Alcova Reservoir, Wyoming",WY,42.54889,-106.72056,5500,MST,,,,,,,,,,GP,
alf,ALBENI FALLS DAM ON PEND OREILLE RIV BL LAKE,ID,48.18333333,-117.0333333,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Corps,PN,1.70E+11
almw,"Almira Hydromet Station, WA",WA,47.79097346,-118.9163667,2350,US/Pacific,48:30.2,,ft,0,cma_google_1,,,hydromet,pnro,PN,1.70E+11
alno,"Allen Canal at Echo, OR",OR,45.73361111,-119.2041667,630,US/Pacific,18:12.3,14030000,ft,0,,,,hydromet,owrd,PN,1.71E+11
alpy,"Snake River above Reservoir near Alpine, WY",WY,43.19627073,-110.8895682,5684,US/Mountain,00:00.0,13022500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
alto,"A-Line Canal (Terminus) nr Hermiston, OR",OR,45.81361111,-119.3577778,550,US/Pacific,23:26.0,14029800,ft,0,,,,hydromet,owrd,PN,1.71E+11
alty,Alta Wyoming Weather Station,WY,43.77241254,-111.0332519,6430,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
amf,"American Falls Reservoir at American Falls, ID",ID,42.77916,-112.87917,4370,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.70E+11
amfi,"Snake River at Neeley, ID",ID,42.767518,-112.879474,4242,US/Mountain,.......................,13077000,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
amrw,"American River near Nile, WA",WA,46.977616,-121.168696,2700,US/Pacific,00:00.0,12488500,ft,0,,,,hydromet,usgs,PN,1.70E+11
anaw,"SNAKE RIVER NR ANATONE, WASHINGTON",WA,46.09722222,-116.9766667,807,US/Pacific,00:00.0,13334300,ft,0,,,,hydromet,usgs,PN,1.71E+11
anci,Anderson Canal,ID,43.62222222,-111.6694444,5030,US/Mountain,00:00.0,13037505,ft,0,,,,hydromet,IDWR,PN,1.70E+11
ancr,"Anchor Reservoir, South Fork Owl Creek, Wyoming",WY,43.66389,-108.82417,6370,MST,,,,,,,,,,GP,
and,Anderson Ranch Dam and Reservoir,ID,43.35918945,-115.449191,3880,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.71E+11
andi,South Fork Boise River at Anderson Ranch Dam,ID,43.343588,-115.477435,3830,US/Mountain,00:00.0,13190500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.71E+11
anno,"Annie Creek near Fort Klamath, OR",OR,42.76916667,-122.0597222,4399,US/Pacific,38:25.3,0,ft,0,,,,hydromet,Klamath,PN,1.80E+11
anro,ANEROID LAKE #2,OR,45.2,-117.1833333,240.3333333,0,.......................,302,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
